word,ipa,prediction
estada,e s ˈt a d a,e s ˈt a d a
amarrete,a m a ˈr e t e,a m a ˈr e t e
cómanle,ˈk o m a n l e,ˈk o m a n l e
joderla,x o ˈd e ɾ l a,x o ˈd e ɾ l a
apanar,a p a ˈn a ɾ,a p a ˈn a ɾ
deteriorante,d e t e ɾ j o ˈɾ a n t e,d e t e ɾ j o ˈɾ a n t e
rehén,r e ˈe n,r e ˈe n
cámping,ˈk a m p i n,ˈk a m p i n
puros,ˈp u ɾ o s,ˈp u ɾ o s
semiconductor,s e m i k o n d u ɡ ˈt o ɾ,s e m i k o n d u ɡ ˈt o ɾ
discreteadas,d i s k ɾ e t e ˈa d a s,d i s k ɾ e t e ˈa d a s
Cantórbery,k a n ˈt o ɾ b e ɾ i,k a n ˈt o ɾ b e ɾ i
restados,r e s ˈt a d o s,r e s ˈt a d o s
corsé,k o ɾ ˈs e,k o ɾ ˈs e
vetándoles,b e ˈt a n d o l e s,b e ˈt a n d o l e s
cadaverosa,k a d a b e ˈɾ o s a,k a d a b e ˈɾ o s a
lubrifico,l u b ɾ i ˈf i k o,l u b ɾ i ˈf i k o
leyendo,l e ˈʝ e n d o,l e ˈʝ e n d o
autogestionado,a u t o x e s t j o ˈn a d o,a u t o x e s t j o ˈn a d o
plebeyo,p l e ˈb e ʝ o,p l e ˈb e ʝ o
argumentar,a ɾ ɡ u m e n ˈt a ɾ,a ɾ ɡ u m e n ˈt a ɾ
punalúa,p u n a ˈl u a,p u n a ˈl u a
incluso,i n ˈk l u s o,i n ˈk l u s o
frambueso,f ɾ a m ˈb w e s o,f ɾ a m ˈb w e s o
leoninas,l e o ˈn i n a s,l e o ˈn i n a s
definitivas,d e f i n i ˈt i b a s,d e f i n i ˈt i b a s
cafeico,k a ˈf e i k o,k a ˈf e i k o
oíble,o ˈi b l e,o ˈi b l e
piemontés,p j e m o n ˈt e s,p j e m o n ˈt e s
polbero,p o l ˈb e ɾ o,p o l ˈb e ɾ o
compendiado,k o m p e n ˈd j a d o,k o m p e n ˈd j a d o
desarbolar,d e s a ɾ b o ˈl a ɾ,d e s a ɾ b o ˈl a ɾ
apetitosa,a p e t i ˈt o s a,a p e t i ˈt o s a
sinostosis,s i n o s ˈt o s i s,s i n o s ˈt o s i s
arrullo,a ˈr u ʝ o,a ˈr u ʝ o
cómanme,ˈk o m a m m e,ˈk o m a m m e
africada,a f ɾ i ˈk a d a,a f ɾ i ˈk a d a
intransigentes,i n t ɾ a n s i ˈx e n t e s,i n t ɾ a n s i ˈx e n t e s
vimos,ˈb i m o s,ˈb i m o s
morfea,m o ɾ ˈf e a,m o ɾ ˈf e a
fabrica,f a ˈb ɾ i k a,f a ˈb ɾ i k a
calumniosa,k a l u m ˈn j o s a,k a l u m ˈn j o s a
anaplásico,a n a ˈp l a s i k o,a n a ˈp l a s i k o
apocalipsis,a p o k a ˈl i b s i s,a p o k a ˈl i b s i s
enastado,e n a s ˈt a d o,e n a s ˈt a d o
huno,ˈu n o,ˈu n o
precapitalista,p ɾ e k a p i t a ˈl i s t a,p ɾ e k a p i t a ˈl i s t a
retornado,r e t o ɾ ˈn a d o,r e t o ɾ ˈn a d o
estaban,e s ˈt a b a n,e s ˈt a b a n
reológico,r e o ˈl o x i k o,r e o ˈl o x i k o
reproductivas,r e p ɾ o d u ɡ ˈt i b a s,r e p ɾ o d u ɡ ˈt i b a s
cascajo,k a s ˈk a x o,k a s ˈk a x o
sótano,ˈs o t a n o,ˈs o t a n o
Mercurio,m e ɾ ˈk u ɾ j o,m e ɾ ˈk u ɾ j o
alejada,a l e ˈx a d a,a l e ˈx a d a
anteanoche,a n t e a ˈn o t͡ʃ e,a n t e a ˈn o t͡ʃ e
bruñido,b ɾ u ˈɲ i d o,b ɾ u ˈɲ i d o
vetaríamos,b e t a ˈɾ i a m o s,b e t a ˈɾ i a m o s
deputaréis,d e p u t a ˈɾ e i s,d e p u t a ˈɾ e i s
faremos,f a ˈɾ e m o s,f a ˈɾ e m o s
profusos,p ɾ o ˈf u s o s,p ɾ o ˈf u s o s
ondulado,o n d u ˈl a d o,o n d u ˈl a d o
anadeadas,a n a d e ˈa d a s,a n a d e ˈa d a s
perennifolio,p e ɾ e n n i ˈf o l j o,p e ɾ e n n i ˈf o l j o
densificadas,d e n s i f i ˈk a d a s,d e n s i f i ˈk a d a s
alteo,a l ˈt e o,a l ˈt e o
mericarpio,m e ɾ i ˈk a ɾ p j o,m e ɾ i ˈk a ɾ p j o
convergidos,k o m b e ɾ ˈx i d o s,k o m b e ɾ ˈx i d o s
portuenses,p o ɾ ˈt w e n s e s,p o ɾ ˈt w e n s e s
recostados,r e k o s ˈt a d o s,r e k o s ˈt a d o s
adoptando,a d o b ˈt a n d o,a d o b ˈt a n d o
ampolla,a m ˈp o ʝ a,a m ˈp o ʝ a
malditas,m a l ˈd i t a s,m a l ˈd i t a s
Angulo,a n ˈɡ u l o,a n ˈɡ u l o
juglaresco,x u ɡ l a ˈɾ e s k o,x u ɡ l a ˈɾ e s k o
chulunca,t͡ʃ u ˈl u n k a,t͡ʃ u ˈl u n k a
reproductiva,r e p ɾ o d u ɡ ˈt i b a,r e p ɾ o d u ɡ ˈt i b a
curvare,k u ɾ ˈb a ɾ e,k u ɾ ˈb a ɾ e
Ledesma,l e ˈd e s m a,l e ˈd e s m a
Marroquín,m a r o ˈk i n,m a r o ˈk i n
burkinesa,b u ɾ k i ˈn e s a,b u ɾ k i ˈn e s a
inequívoca,i n e ˈk i b o k a,i n e ˈk i b o k a
precavidas,p ɾ e k a ˈb i d a s,p ɾ e k a ˈb i d a s
recolectadas,r e k o l e ɡ ˈt a d a s,r e k o l e ɡ ˈt a d a s
sufragada,s u f ɾ a ˈɡ a d a,s u f ɾ a ˈɡ a d a
traficados,t ɾ a f i ˈk a d o s,t ɾ a f i ˈk a d o s
asuán,a ˈs w a n,a ˈs w a n
cantarlas,k a n ˈt a ɾ l a s,k a n ˈt a ɾ l a s
Ramona,r a ˈm o n a,r a ˈm o n a
laboratorial,l a b o ɾ a t o ˈɾ j a l,l a b o ɾ a t o ˈɾ j a l
testadas,t e s ˈt a d a s,t e s ˈt a d a s
moraríamos,m o ɾ a ˈɾ i a m o s,m o ɾ a ˈɾ i a m o s
vial,ˈb j a l,ˈb j a l
reputar,r e p u ˈt a ɾ,r e p u ˈt a ɾ
contraatacados,k o n t ɾ a a t a ˈk a d o s,k o n t ɾ a a t a ˈk a d o s
codesarrollado,k o d e s a r o ˈʝ a d o,k o d e s a r o ˈʝ a d o
heparina,e p a ˈɾ i n a,e p a ˈɾ i n a
artesano,a ɾ t e ˈs a n o,a ɾ t e ˈs a n o
subscriptos,s u b s ˈk ɾ i b t o s,s u b s ˈk ɾ i b t o s
forro,ˈf o r o,ˈf o r o
fructífero,f ɾ u ɡ ˈt i f e ɾ o,f ɾ u ɡ ˈt i f e ɾ o
escapado,e s k a ˈp a d o,e s k a ˈp a d o
columnela,k o l u m ˈn e l a,k o l u m ˈn e l a
enrocas,e n ˈr o k a s,e n ˈr o k a s
sujetar,s u x e ˈt a ɾ,s u x e ˈt a ɾ
coliderar,k o l i d e ˈɾ a ɾ,k o l i d e ˈɾ a ɾ
sexar,s e ɡ ˈs a ɾ,s e ɡ ˈs a ɾ
contestar,k o n t e s ˈt a ɾ,k o n t e s ˈt a ɾ
transfectar,t ɾ a n s f e ɡ ˈt a ɾ,t ɾ a n s f e ɡ ˈt a ɾ
deputemos,d e p u ˈt e m o s,d e p u ˈt e m o s
entesitis,e n t e ˈs i t i s,e n t e ˈs i t i s
expiado,e ɡ s ˈp j a d o,e ɡ s ˈp j a d o
veneranda,b e n e ˈɾ a n d a,b e n e ˈɾ a n d a
disyuntor,d i s ʝ u n ˈt o ɾ,d i s ʝ u n ˈt o ɾ
ectópica,e ɡ ˈt o p i k a,e ɡ ˈt o p i k a
reputados,r e p u ˈt a d o s,r e p u ˈt a d o s
butiá,b u ˈt j a,b u ˈt j a
incolora,i n k o ˈl o ɾ a,i n k o ˈl o ɾ a
florido,f l o ˈɾ i d o,f l o ˈɾ i d o
gentilhombre,x e n t i ˈl o m b ɾ e,x e n t i ˈl o m b ɾ e
mostraríamos,m o s t ɾ a ˈɾ i a m o s,m o s t ɾ a ˈɾ i a m o s
lihueñe,l i ˈw e ɲ e,l i ˈw e ɲ e
catinona,k a t i ˈn o n a,k a t i ˈn o n a
envestir,e m b e s ˈt i ɾ,e m b e s ˈt i ɾ
pocotón,p o k o ˈt o n,p o k o ˈt o n
autotrófico,a u t o ˈt ɾ o f i k o,a u t o ˈt ɾ o f i k o
abastos,a ˈb a s t o s,a ˈb a s t o s
epigástrico,e p i ˈɡ a s t ɾ i k o,e p i ˈɡ a s t ɾ i k o
piquigualdo,p i k i ˈɡ w a l d o,p i k i ˈɡ w a l d o
Vichada,b i ˈt͡ʃ a d a,b i ˈt͡ʃ a d a
desrabotada,d e s r a b o ˈt a d a,d e s r a b o ˈt a d a
acalorarse,a k a l o ˈɾ a ɾ s e,a k a l o ˈɾ a ɾ s e
latué,l a ˈt w e,l a ˈt w e
escudriñamiento,e s k u d ɾ i ɲ a ˈm j e n t o,e s k u d ɾ i ɲ a ˈm j e n t o
ruinado,r w i ˈn a d o,r w i ˈn a d o
predestinada,p ɾ e d e s t i ˈn a d a,p ɾ e d e s t i ˈn a d a
espeso,e s ˈp e s o,e s ˈp e s o
rubéola,r u ˈb e o l a,r u ˈb e o l a
conectaste,k o n e ɡ ˈt a s t e,k o n e ɡ ˈt a s t e
unicameral,u n i k a m e ˈɾ a l,u n i k a m e ˈɾ a l
tándems,ˈt a n d e m s,ˈt a n d e m s
mohínos,m o ˈi n o s,m o ˈi n o s
logísticas,l o ˈx i s t i k a s,l o ˈx i s t i k a s
quemador,k e m a ˈd o ɾ,k e m a ˈd o ɾ
calabriadas,k a l a ˈb ɾ j a d a s,k a l a ˈb ɾ j a d a s
bioéticas,b i o ˈe t i k a s,b i o ˈe t i k a s
yiras,ˈʝ i ɾ a s,ˈʝ i ɾ a s
anchura,a n ˈt͡ʃ u ɾ a,a n ˈt͡ʃ u ɾ a
criaturita,k ɾ j a t u ˈɾ i t a,k ɾ j a t u ˈɾ i t a
vapeadas,b a p e ˈa d a s,b a p e ˈa d a s
rácano,ˈr a k a n o,ˈr a k a n o
alojativo,a l o x a ˈt i b o,a l o x a ˈt i b o
quíntuplos,ˈk i n t u p l o s,ˈk i n t u p l o s
Cartago,k a ɾ ˈt a ɡ o,k a ɾ ˈt a ɡ o
endotérmicos,e n d o ˈt e ɾ m i k o s,e n d o ˈt e ɾ m i k o s
trasquilado,t ɾ a s k i ˈl a d o,t ɾ a s k i ˈl a d o
estuvieses,e s t u ˈb j e s e s,e s t u ˈb j e s e s
clamadas,k l a ˈm a d a s,k l a ˈm a d a s
microbiana,m i k ɾ o ˈb j a n a,m i k ɾ o ˈb j a n a
traído,t ɾ a ˈi d o,t ɾ a ˈi d o
escarbador,e s k a ɾ b a ˈd o ɾ,e s k a ɾ b a ˈd o ɾ
cacheteada,k a t͡ʃ e t e ˈa d a,k a t͡ʃ e t e ˈa d a
alardeados,a l a ɾ d e ˈa d o s,a l a ɾ d e ˈa d o s
según,s e ˈɡ u n,s e ˈɡ u n
data,ˈd a t a,ˈd a t a
esponjoso,e s p o n ˈx o s o,e s p o n ˈx o s o
minamos,m i ˈn a m o s,m i ˈn a m o s
desdeñar,d e s d e ˈɲ a ɾ,d e s d e ˈɲ a ɾ
pluripartidaria,p l u ɾ i p a ɾ t i ˈd a ɾ j a,p l u ɾ i p a ɾ t i ˈd a ɾ j a
anticarro,a n t i ˈk a r o,a n t i ˈk a r o
abrasaremos,a b ɾ a s a ˈɾ e m o s,a b ɾ a s a ˈɾ e m o s
sobrevoladas,s o b ɾ e b o ˈl a d a s,s o b ɾ e b o ˈl a d a s
triángulos,ˈt ɾ j a n ɡ u l o s,ˈt ɾ j a n ɡ u l o s
puntilla,p u n ˈt i ʝ a,p u n ˈt i ʝ a
ligoteo,l i ɡ o ˈt e o,l i ɡ o ˈt e o
sacramento,s a k ɾ a ˈm e n t o,s a k ɾ a ˈm e n t o
